/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra.uniq.bam
7902	6210	468
0	0	0
0	0	0
0	14	0
78	218	36
11068	29101	2915
0	14	0
0	2	0
0	0	0
0	0	0
0	0	0
0	1	0
0	2	0
755	147	63
8	184	0
0	0	0
0	2	0
0	0	0
4	3	0
45	16	3
5044	82	24
232	377	819
1258	992	94
22	72	520
14	8	1
9388	5129	1221
2795	3519	868
695	31	15
2848	644	13
0	4	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
254	24	8
1314	164	48
5592	6736	446
0	0	0
17	0	0
1141	2191	98
536	4000	555
123	325	901
16	15	188
2	48	2423
0	4	448
0	12	590
2	0	0
0	2	895
0	0	0
0	0	0
6648	21792	3471
9556	50458	1934
0	0	4
2	124	163710
0	0	1
0	0	0
0	0	0
4275	7688	1415
0	0	0
0	0	0
0	26	0
8	474	0
0	24	0
0	718	0
74	43	1
0	0	0
0	12	0
7617	9099	925
0	2	0
211	316	29
0	1	0
137	533	45
2299	5854	1083
0	0	0
0	0	0
12	450	106
2	2	0
0	0	0
0	0	0
1	1	0
96	16	0
0	0	0
0	0	0
2	2	10
1318	1341	65
0	0	0
0	2	6
16	159	2
1098	3396	126
0	0	0
2	3	1
223	3133	13
336	22	0
0	2	0
181	391	20
0	0	162
0	0	0
2	20	0
8378	6864	1404
3472	12682	2189
0	6	0
42	6	2
5675	7780	922
79549	29233	3677
0	0	0
739	2628	257
0	10	0
4	392	8
5	6	2
11844	882	248
2	135	0
0	61	0
13	1	3
614	2483	163
570	6103	518
0	0	0
11	295	107
10679	3156	102
14600	22164	2016
270	249	45
33	12	0
50	33	7
3100	1442	162
118	32	36
56	73	0
58	128	0
245	146	38
23675	42335	2224
2332	3937	402
3	20	10
0	0	0
27197	2928	68
9793	40772	50
0	0	0
6682	7308	250
26679	8368	193
0	0	0
0	0	0
15	56	4
2	0	0
1	2	0
0	0	0
6062	3308	73
8	0	0
0	0	0
5794	9432	624
1402	1165	260
876	422	1
0	0	0
2	0	0
529	116	62
1	2	0
238	4	12
3	0	2
