/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra.uniq.bam
1103	4118	10836
252	2739	12177
3052	3558	34960
15227	27572	50017
5333	489	3710
25	74	96
353	1742	2649
4803	6639	7043
2811	7668	20264
0	0	37
149	367	407
316	52	1155
1341	2229	3100
206	720	2111
961	742	2426
2	0	4
25996	175	46747
302	817	482
207711	302	97622
8072	8362	16708
31507	93308	95813
2276	20	6767
81905	899	11859
10923	16399	41403
4234	3521	7577
5236	15521	14806
5	13	19
4906	2203	11544
122	237	341
42746	17698	55500
5610	425	1463
82	15	468
0	0	2
1	45	5
15161	40937	85034
14	24	5077
0	0	0
0	96	75
5	22	25
252	5543	178860
316	1197	3220
17680	28683	101142
134	91	83
1854	2327	5423
74	0	394
171	0	1411
0	0	10
0	0	12
4	15	83
31	369	167
6	2071	489
3529	4183	16179
506	1627	224
1170	2766	3571
100	559	14257
4	15	4
1107	3617	3971
0	0	0
48	119	170
5962	196	8295
0	0	0
1	0	1
0	0	0
150	449	2666
0	2	9
0	0	0
72	743	823
279	808	356
527	1415	1799
0	1	73
0	0	30
0	0	1111
0	0	0
0	41	6
4	693	1
1579	18787	1409
22	1120	24
11175	21154	33383
395	8350	3400
1489	20224	14840
0	0	2
0	0	0
0	0	1
24	9176	97371
0	0	0
0	0	1
143120	4626	27534
9	77	133
51	238	33
3055	0	381
9127	27133	8247
4016	20741	10620
3	2	1848
1151	2634	4947
149	404	610
0	4	12
0	9	0
0	0	2
0	0	31
0	0	0
0	25	0
0	0	0
0	246	2
286	1828	12310
0	0	0
8	4	245
5126	6811	5445
3757	258	2151
15512	19767	21444
108	892	857
630	2463	1062
0	7	4339
0	0	1
0	739	103
0	1	0
930	21133	874
12	76	763
0	0	16
0	0	27716
63	369	127
94	314	2
2	2	4
0	1	0
7	137	147
51	1126	259
2496	5593	11536
3296	8390	9732
0	0	32
0	73	535
14658	40827	83458
8646	15891	24659
8	69	9895
1003	3696	4823
5	89	43
20	12	137
335	845	2219
0	0	0
0	0	0
2774	0	598
2	0	0
189	250	238
0	5744	1527
5	1	11
765407	1585	248299
48	4	713
1565	2942	9041
77	34	1911
0	0	0
0	0	0
2388	2505	3350
813	18369	3531
2	6	5
56222	40142	145947
39	57	3426
1	2	72
308	838	8914
172	109	10
3	108	22
6513	5381	11955
0	0	0
1494	1739	5549
0	15	497
0	0	2973
0	0	12
0	0	2
1	25	27
0	0	4
2572	354	13583
4882	2002	2852
0	0	0
26	2357	344
16	11	4
407	2215	295
0	0	2
0	0	21
25	30	49
105	1161	103
182	24	5636
0	0	0
47	0	6
0	32	639
77	145	69
2	0	0
0	2	0
44092	6405	4341
12103	15210	20186
19	4	17
904	2066	2889
0	0	0
362	692	802
5950	8259	12131
2	0	13
2677	4363	5514
1443	536	727
1	4	14
383	376	855
1994	7270	16493
0	538	1974
0	0	2
1	0	25387
20	4747	905
0	0	0
8	2	2345
2	24	45
0	0	2
0	3	646
0	0	20
3	2	0
254	722	894
0	0	0
343	214	1385
5841	11982	8982
80	244	581
15627	20052	52886
0	0	0
1618	1178	1498
99626	2864	5992
0	0	32
5	27	679
23	119	2494
15874	33485	47698
0	0	0
0	1028	31
0	0	0
5727	4984	15163
14074	3035	6448
21341	34482	55271
16742	12721	25284
119	302	729
0	0	0
2205	2202	31221
4	0	401
0	2	26
6	3203	831
545	320	2105
76	8	111
22	80	6869
0	43	9
0	63	119
0	0	0
0	0	2167
0	0	1
0	0	2
0	0	8
0	0	2
0	4	3
0	0	28
0	0	65
0	1	0
0	0	2
0	2	10
50147	3943	19676
0	0	0
4594	4982	16651
3276	4899	7638
8	7	26
161	35	1001
2	10	126
0	0	18
0	3	2
6964	5708	9209
0	0	6
80	1679	22308
4	583	81125
0	0	0
8067	652	3971
3512	122	1226
39882	87705	538961
0	1	0
0	0	0
5	44	52
382	2398	1156
0	0	0
2	6	0
72	665	6956
116	28	227
0	0	0
101	196	1603
2319	7175	12615
803	7856	5472
10	28	767
1659	4265	4219
1265	2267	3445
0	0	0
0	0	0
4670	3582	5166
59201	92303	190573
2416	7774	9306
14576	8341	6392
33499	33409	87602
0	1	0
0	0	5
1703	1087	4685
48	0	35
14	0	10
6358	5389	7109
1676	2895	7320
122	13	41621
2	0	0
81	150	1608
53	193	1036
0	16	4
0	0	0
36	76	74
0	0	0
143	172	2272
0	0	0
9568	11042	15977
0	0	0
112978	4783	11337
0	31	0
1	0	0
141	8	162
51161	471	2691
30898	24385	50657
35	57	11
0	0	0
0	0	0
242	702	1339
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
7	68	888
1378	3559	1954
0	0	2
0	0	0
0	0	5
0	0	0
0	0	0
0	1	0
110	1157	0
498	5951	713
10890	10625	15628
719	1774	1230
4093	5528	14822
11095	19163	67747
3620	5296	7127
10433	19485	15629
3	0	0
0	0	2
16018	3490	8943
0	0	4
0	0	0
18	25	875
1524	687	1630
15528	19582	38358
0	0	4
0	0	7
0	0	0
0	0	0
2	4	7
0	0	338
0	12	3
8	131	329
0	7	42888
0	0	7
57	53	63
0	0	0
14	35	18
86	18	0
1591	148	616
160	1033	216
206	1095	1669
3	24	132
4	6	1
2951	2612	7714
3805	4244	7495
0	10	0
1359	317	1736
0	0	0
0	0	0
0	0	0
0	0	0
8	930	72
0	5	24
2067	8420	155
586	4201	607
4234	1118	5771
0	0	0
0	12	1865
6	27	2238
1053	13374	4517
857	5777	1619
0	60	12
0	900	40
0	477	0
0	1082	13
1	0	0
0	544	112
0	0	0
0	0	0
13925	26032	54104
24782	72005	94403
0	1	108
176	15052	17717
0	1	0
0	0	2
0	1	0
5345	6464	9925
0	0	14
2	0	2
0	0	0
2	16	3272
0	0	3372
8	0	829
44	2	540
0	0	0
